,0,1,2,3,4,5,6
26809,Foot,NNP,I-NP,I-PERSON,L-PERSON,o,o
26810,",",",",o,o,o,o,o
26811,Aneurin,NNP,B-NP,B-PERSON,B-PERSON,o,o
26812,Bevan,NNP,I-NP,I-PERSON,L-PERSON,o,o
26813,",",",",o,o,o,o,o
26814,and,CC,I-NP,o,o,o,o
26815,E.M.,NNP,B-NP,B-PERSON,B-PERSON,o,o
26816,Forster,NNP,I-NP,I-PERSON,L-PERSON,o,o
26817,",",",",o,o,o,o,o
26818,whose,WP$,B-NP,o,o,o,o
26819,A,DT,I-NP,o,o,o,o
26820,Passage,NN,I-NP,o,o,o,o
26821,to,TO,B-PP,o,o,o,o
26822,India,NNP,B-NP,B-GPE,U-GPE,o,o
26823,he,PRP,B-NP,o,o,o,o
26824,secured,VBD,B-VP,o,o,o,o
26825,the,DT,B-NP,o,o,o,o
26826,publication,NN,I-NP,o,o,o,o
26827,of,IN,B-PP,o,o,o,o
26828,",",",",o,o,o,o,o
26829,according,VBG,B-PP,o,o,o,o
26830,to,TO,B-PP,o,o,o,o
26831,Shashi,NNP,B-NP,B-PERSON,B-PERSON,o,o
26832,Tharoor,NNP,I-NP,I-PERSON,L-PERSON,o,o
26833,.,.,o,o,o,o,o
26834,,,,,,,
26835,Menon's,NNP,B-NP,B-PERSON,U-PERSON,o,o
26836,legendary,JJ,I-NP,o,o,o,o
26837,relationship,NN,I-NP,o,o,o,o
26838,with,IN,B-PP,o,o,o,o
26839,Nehru,NNP,B-NP,B-PERSON,U-PERSON,o,o
26840,would,MD,B-VP,o,o,o,o
26841,later,RB,I-VP,o,o,o,o
26842,be,VB,I-VP,o,o,o,o
26843,analogised,VBN,I-VP,o,o,o,o
26844,by,IN,B-PP,o,o,o,o
26845,Sir,NNP,B-NP,B-PERSON,B-PERSON,B-TITLE,o
26846,Isaiah,NNP,I-NP,I-PERSON,I-PERSON,o,o
26847,Berlin,NNP,I-NP,I-PERSON,L-PERSON,o,o
26848,as,IN,B-PP,o,o,o,o
26849,like,IN,B-PP,o,o,o,o
26850,that,DT,B-NP,o,o,o,o
26851,of,IN,B-PP,o,o,o,o
26852,Ezra,NNP,B-NP,B-PERSON,B-PERSON,o,o
26853,Pound,NNP,I-NP,I-PERSON,L-PERSON,o,o
26854,and,CC,I-NP,o,o,o,o
26855,T.S.,NNP,B-NP,B-PERSON,B-PERSON,o,o
26856,Eliot,NNP,I-NP,I-PERSON,L-PERSON,o,o
26857,.,.,o,o,o,o,o
26858,,,,,,,
26859,In,IN,B-PP,o,o,o,o
26860,1932,CD,B-NP,B-YEAR,U-YEAR,o,o
26861,he,PRP,B-NP,o,o,o,o
26862,inspired,VBD,B-VP,o,o,o,o
26863,a,DT,B-NP,o,o,o,o
26864,fact-finding,JJ,I-NP,o,o,o,o
26865,delegation,NN,I-NP,o,o,o,o
26866,headed,VBN,B-VP,o,o,o,o
26867,by,IN,B-PP,o,o,o,o
26868,Labour,NNP,B-NP,o,o,o,o
26869,MP,NNP,I-NP,B-PERSON,B-PERSON,B-TITLE,o
26870,Ellen,NNP,I-NP,I-PERSON,I-PERSON,o,o
26871,Wilkinson,NNP,I-NP,I-PERSON,L-PERSON,o,o
26872,to,TO,B-VP,o,o,o,o
26873,visit,VB,I-VP,o,o,o,o
26874,India,NNP,B-NP,B-GPE,U-GPE,o,o
26875,",",",",o,o,o,o,o
26876,and,CC,I-NP,o,o,o,o
26877,edited,VBD,B-VP,o,o,o,o
26878,its,PRP$,B-NP,o,o,o,o
26879,report,NN,I-NP,o,o,o,o
26880,entitled,VBN,B-VP,o,o,o,o
26881,"	",o,o,o,o,o,
26882,Conditions,NNS,B-NP,o,o,o,o
26883,In,IN,B-PP,o,o,o,o
26884,India,NNP,B-NP,B-GPE,U-GPE,o,o
26885,"	",o,o,o,o,o,
26886,",",",",o,o,o,o,o
26887,obtaining,VBG,B-VP,o,o,o,o
26888,a,DT,B-NP,o,o,o,o
26889,preface,NN,I-NP,o,o,o,o
26890,from,IN,B-PP,o,o,o,o
26891,his,PRP$,B-NP,o,o,o,o
26892,friend,NN,I-NP,o,o,o,o
26893,Betrand,NNP,I-NP,B-PERSON,B-PERSON,o,o
26894,Russell,NNP,I-NP,I-PERSON,L-PERSON,o,o
26895,.,.,o,o,o,o,o
26896,,,,,,,
26897,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
26898,also,RB,B-ADVP,o,o,o,o
26899,worked,VBD,B-VP,o,o,o,o
26900,assiduously,RB,I-VP,o,o,o,o
26901,to,TO,I-VP,o,o,o,o
26902,ensure,VB,I-VP,o,o,o,o
26903,that,IN,B-SBAR,o,o,o,o
26904,Nehru,NNP,B-NP,B-PERSON,U-PERSON,o,o
26905,would,MD,B-VP,o,o,o,o
26906,succeed,VB,I-VP,o,o,o,o
26907,Mahatma,NNP,B-NP,B-PERSON,B-PERSON,o,o
26908,Gandhi,NNP,I-NP,I-PERSON,L-PERSON,o,o
26909,as,IN,B-PP,o,o,o,o
26910,the,DT,B-NP,o,o,o,o
26911,moral,JJ,I-NP,o,o,o,o
26912,leader,NN,I-NP,o,o,o,o
26913,and,CC,I-NP,o,o,o,o
26914,executive,NN,I-NP,o,o,o,o
26915,of,IN,B-PP,o,o,o,o
26916,the,DT,B-NP,o,o,o,o
26917,Indian,NNP,I-NP,o,o,o,o
26918,independence,NN,I-NP,o,o,o,o
26919,movement,NN,I-NP,o,o,o,o
26920,",",",",o,o,o,o,o
26921,and,CC,I-NP,o,o,o,o
26922,to,TO,B-VP,o,o,o,o
26923,clear,VB,I-VP,o,o,o,o
26924,the,DT,B-NP,o,o,o,o
26925,way,NN,I-NP,o,o,o,o
26926,for,IN,B-PP,o,o,o,o
26927,Nehru's,NNP,B-NP,B-PERSON,U-PERSON,o,o
26928,eventual,JJ,I-NP,o,o,o,o
26929,accession,NN,I-NP,o,o,o,o
26930,as,IN,B-PP,o,o,o,o
26931,the,DT,B-NP,o,o,o,o
26932,first,JJ,I-NP,o,o,o,o
26933,Prime,NNP,I-NP,B-PERSON,B-PERSON,o,o
26934,Minister,NNP,I-NP,I-PERSON,L-PERSON,o,o
26935,of,IN,B-PP,o,o,o,o
26936,an,DT,B-NP,o,o,o,o
26937,independent,JJ,I-NP,o,o,o,o
26938,India,NNP,I-NP,B-GPE,U-GPE,o,o
26939,.,.,o,o,o,o,o
26940,,,,,,,
26941,As,IN,B-PP,o,o,o,o
26942,Secretary,NNP,B-NP,o,o,o,o
26943,",",",",o,o,o,o,o
26944,he,PRP,B-NP,o,o,o,o
26945,built,VBD,B-VP,o,o,o,o
26946,the,DT,B-NP,o,o,o,o
26947,India,NNP,I-NP,B-NORP,B-NORP,B-NATION,o
26948,League,NNP,I-NP,I-NORP,L-NORP,o,o
26949,into,IN,B-PP,o,o,o,o
26950,the,DT,B-NP,o,o,o,o
26951,most,RBS,I-NP,o,o,o,o
26952,influential,JJ,I-NP,o,o,o,o
26953,Indian,NNP,I-NP,o,o,o,o
26954,lobby,NN,I-NP,o,o,o,o
26955,in,IN,B-PP,o,o,o,o
26956,the,DT,B-NP,o,o,o,o
26957,British,NNP,I-NP,B-ORG,B-ORG,o,o
26958,Parliament,NNP,I-NP,I-ORG,L-ORG,o,o
26959,",",",",o,o,o,o,o
26960,and,CC,I-NP,o,o,o,o
26961,actively,RB,B-VP,o,o,o,o
26962,turned,VBD,I-VP,o,o,o,o
26963,British,JJ,B-NP,B-NORP,U-NORP,o,o
26964,popular,JJ,I-NP,o,o,o,o
26965,sentiment,NN,I-NP,o,o,o,o
26966,towards,IN,B-PP,o,o,o,o
26967,the,DT,B-NP,o,o,o,o
26968,cause,NN,I-NP,o,o,o,o
26969,of,IN,B-PP,o,o,o,o
26970,Indian,NNP,B-NP,o,o,o,o
26971,independence,NN,I-NP,o,o,o,o
26972,.,.,o,o,o,o,o
26973,,,,,,,
26974,The,DT,B-NP,o,o,o,o
26975,origins,NNS,I-NP,o,o,o,o
26976,of,IN,B-PP,o,o,o,o
26977,what,WP,B-NP,o,o,o,o
26978,would,MD,B-VP,o,o,o,o
26979,become,VB,I-VP,o,o,o,o
26980,the,DT,B-NP,o,o,o,o
26981,policy,NN,I-NP,o,o,o,o
26982,of,IN,B-PP,o,o,o,o
26983,non-alignment,NN,B-NP,o,o,o,o
26984,were,VBD,B-VP,o,o,o,o
26985,evident,JJ,B-ADJP,o,o,o,o
26986,in,IN,B-PP,o,o,o,o
26987,Menon's,NNP,B-NP,B-PERSON,U-PERSON,o,o
26988,personal,JJ,I-NP,o,o,o,o
26989,sympathies,NNS,I-NP,o,o,o,o
26990,even,RB,B-ADVP,o,o,o,o
26991,in,IN,B-PP,o,o,o,o
26992,England,NNP,B-NP,B-GPE,U-GPE,o,o
26993,",",",",o,o,o,o,o
26994,where,WRB,B-ADVP,o,o,o,o
26995,he,PRP,B-NP,o,o,o,o
26996,simultaneously,RB,B-ADVP,o,o,o,o
26997,condemned,VBD,B-VP,o,o,o,o
26998,both,DT,B-NP,o,o,o,o
26999,the,DT,B-NP,o,o,o,o
27000,British,NNP,I-NP,B-ORG,B-ORG,o,o
27001,Empire,NNP,I-NP,I-ORG,L-ORG,o,o
27002,and,CC,I-NP,o,o,o,o
27003,Nazi,NNP,B-NP,o,o,o,o
27004,Germany,NNP,I-NP,B-GPE,U-GPE,o,o
27005,",",",",o,o,o,o,o
27006,although,IN,B-SBAR,o,o,o,o
27007,he,PRP,B-NP,o,o,o,o
27008,did,VBD,B-VP,o,o,o,o
27009,march,NN,B-NP,o,o,o,o
27010,several,JJ,I-NP,o,o,o,o
27011,times,NNS,I-NP,o,o,o,o
27012,in,IN,B-PP,o,o,o,o
27013,anti-Nazi,JJ,B-NP,o,o,o,o
27014,demonstrations,NNS,I-NP,o,o,o,o
27015,.,.,o,o,o,o,o
27016,,,,,,,
27017,When,WRB,B-ADVP,o,o,o,o
27018,asked,VBD,B-VP,o,o,o,o
27019,whether,IN,B-SBAR,o,o,o,o
27020,India,NNP,B-NP,B-GPE,U-GPE,o,o
27021,would,MD,B-VP,o,o,o,o
27022,prefer,VB,I-VP,o,o,o,o
27023,to,TO,I-VP,o,o,o,o
27024,be,VB,I-VP,o,o,o,o
27025,ruled,VBN,I-VP,o,o,o,o
27026,by,IN,B-PP,o,o,o,o
27027,the,DT,B-NP,o,o,o,o
27028,British,JJ,I-NP,B-NORP,U-NORP,o,o
27029,or,CC,I-NP,o,o,o,o
27030,the,DT,I-NP,o,o,o,o
27031,Nazis,NNPS,I-NP,B-NORP,U-NORP,o,o
27032,",",",",o,o,o,o,o
27033,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27034,famously,RB,B-VP,o,o,o,o
27035,replied,VBD,I-VP,o,o,o,o
27036,that,IN,B-SBAR,o,o,o,o
27037,"	",o,o,o,o,o,
27038,(,(,o,o,o,o,o
27039,one,CD,B-NP,o,o,o,o
27040,),SYM,I-NP,o,o,o,o
27041,might,MD,B-VP,o,o,o,o
27042,as,IN,B-PP,o,o,o,o
27043,well,RB,B-ADVP,o,o,o,o
27044,ask,VB,B-VP,o,o,o,o
27045,a,DT,B-NP,o,o,o,o
27046,fish,NN,I-NP,o,o,o,o
27047,if,IN,B-SBAR,o,o,o,o
27048,it,PRP,B-NP,o,o,o,o
27049,prefers,VBZ,B-VP,o,o,o,o
27050,to,TO,I-VP,o,o,o,o
27051,be,VB,I-VP,o,o,o,o
27052,fried,JJ,B-ADJP,o,o,o,o
27053,in,IN,B-PP,o,o,o,o
27054,butter,NN,B-NP,o,o,o,o
27055,or,CC,I-NP,o,o,o,o
27056,margarine,NN,I-NP,o,o,o,o
27057,"	",o,o,o,o,o,
27058,.,.,o,o,o,o,o
27059,,,,,,,
27060,Roles,NNS,B-NP,o,o,o,o
27061,in,IN,B-PP,o,o,o,o
27062,post-independent,NNP,B-NP,o,o,o,o
27063,India,NNP,I-NP,B-GPE,U-GPE,o,o
27064,[,(,o,o,o,o,o
27065,edit,VB,B-VP,o,o,o,o
27066,source,NN,B-NP,o,o,o,o
27067,|,NN,I-NP,o,o,o,o
27068,edit,VB,B-VP,o,o,o,o
27069,],),o,o,o,o,o
27070,High,NNP,B-NP,o,o,o,o
27071,Commissioner,NNP,I-NP,o,o,o,o
27072,to,TO,B-PP,o,o,o,o
27073,the,DT,B-NP,o,o,o,o
27074,United,NNP,I-NP,B-GPE,B-GPE,o,o
27075,Kingdom,NNP,I-NP,I-GPE,L-GPE,o,o
27076,[,(,o,o,o,o,o
27077,edit,VB,B-VP,o,o,o,o
27078,source,NN,B-NP,o,o,o,o
27079,|,NN,I-NP,o,o,o,o
27080,edit,VB,B-VP,o,o,o,o
27081,],),o,o,o,o,o
27082,After,IN,B-PP,o,o,o,o
27083,India,NNP,B-NP,B-GPE,U-GPE,o,o
27084,gained,VBD,B-VP,o,o,o,o
27085,independence,NN,B-NP,o,o,o,o
27086,in,IN,B-PP,o,o,o,o
27087,1947,CD,B-NP,B-YEAR,U-YEAR,o,o
27088,",",",",o,o,o,o,o
27089,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27090,was,VBD,B-VP,o,o,o,o
27091,appointed,VBN,I-VP,o,o,o,o
27092,high,JJ,B-NP,o,o,o,o
27093,commissioner,NN,I-NP,o,o,o,o
27094,to,TO,B-PP,o,o,o,o
27095,the,DT,B-NP,o,o,o,o
27096,United,NNP,I-NP,B-GPE,B-GPE,o,o
27097,Kingdom,NNP,I-NP,I-GPE,L-GPE,o,o
27098,",",",",o,o,o,o,o
27099,a,DT,B-NP,o,o,o,o
27100,post,NN,I-NP,o,o,o,o
27101,in,IN,B-PP,o,o,o,o
27102,which,WDT,B-NP,o,o,o,o
27103,he,PRP,B-NP,o,o,o,o
27104,remained,VBD,B-VP,o,o,o,o
27105,until,IN,B-PP,o,o,o,o
27106,1952,CD,B-NP,B-YEAR,U-YEAR,o,o
27107,.,.,o,o,o,o,o
27108,,,,,,,
27109,Menon's,NNP,B-NP,B-PERSON,U-PERSON,o,o
27110,intense,JJ,I-NP,o,o,o,o
27111,distrust,NN,I-NP,o,o,o,o
27112,of,IN,B-PP,o,o,o,o
27113,the,DT,B-NP,o,o,o,o
27114,West,NNP,I-NP,o,o,o,o
27115,extended,VBD,B-VP,o,o,o,o
27116,to,TO,B-PP,o,o,o,o
27117,the,DT,B-NP,o,o,o,o
27118,United,NNP,I-NP,B-GPE,B-GPE,o,o
27119,Kingdom,NNP,I-NP,I-GPE,L-GPE,o,o
27120,itself,PRP,B-NP,o,o,o,o
27121,",",",",o,o,o,o,o
27122,and,CC,I-NP,o,o,o,o
27123,his,PRP$,B-NP,o,o,o,o
27124,frequent,JJ,I-NP,o,o,o,o
27125,thwarting,VBG,I-NP,o,o,o,o
27126,of,IN,B-PP,o,o,o,o
27127,British,JJ,B-NP,B-NORP,U-NORP,o,o
27128,political,JJ,I-NP,o,o,o,o
27129,manoeuvres,NNS,I-NP,o,o,o,o
27130,eventually,RB,B-VP,o,o,o,o
27131,led,VBN,I-VP,o,o,o,o
27132,MI5,NNP,B-NP,B-ORG,U-ORG,o,o
27133,to,TO,B-VP,o,o,o,o
27134,deem,VB,I-VP,o,o,o,o
27135,him,PRP,B-NP,o,o,o,o
27136,a,DT,B-NP,o,o,o,o
27137,"	",o,o,o,o,o,
27138,serious,JJ,B-NP,o,o,o,o
27139,menace,NN,I-NP,o,o,o,o
27140,to,TO,B-PP,o,o,o,o
27141,security,NN,B-NP,o,o,o,o
27142,"	",o,o,o,o,o,
27143,.,.,o,o,o,o,o
27144,,,,,,,
27145,From,IN,B-PP,o,o,o,o
27146,1929,CD,B-NP,B-YEAR,U-YEAR,o,o
27147,onwards,RB,I-NP,o,o,o,o
27148,Menon,NNP,I-NP,B-PERSON,U-PERSON,o,o
27149,had,VBD,B-VP,o,o,o,o
27150,been,VBN,I-VP,o,o,o,o
27151,kept,VBN,I-VP,o,o,o,o
27152,under,IN,B-PP,o,o,o,o
27153,surveillance,NN,B-NP,o,o,o,o
27154,",",",",o,o,o,o,o
27155,with,IN,B-PP,o,o,o,o
27156,a,DT,B-NP,o,o,o,o
27157,warrant,NN,I-NP,o,o,o,o
27158,to,TO,B-VP,o,o,o,o
27159,intercept,VB,I-VP,o,o,o,o
27160,his,PRP$,B-NP,o,o,o,o
27161,correspondence,NN,I-NP,o,o,o,o
27162,being,VBG,B-VP,o,o,o,o
27163,issued,VBN,I-VP,o,o,o,o
27164,in,IN,B-PP,o,o,o,o
27165,the,DT,B-NP,o,o,o,o
27166,December,NNP,I-NP,B-MONTH,U-MONTH,o,o
27167,of,IN,B-PP,o,o,o,o
27168,1933,CD,B-NP,B-YEAR,U-YEAR,o,o
27169,",",",",o,o,o,o,o
27170,identifying,VBG,B-VP,o,o,o,o
27171,him,PRP,B-NP,o,o,o,o
27172,as,IN,B-PP,o,o,o,o
27173,an,DT,B-NP,o,o,o,o
27174,',POS,I-NP,o,o,o,o
27175,important,JJ,I-NP,o,o,o,o
27176,worker,NN,I-NP,o,o,o,o
27177,in,IN,B-PP,o,o,o,o
27178,the,DT,B-NP,o,o,o,o
27179,Indian,NNP,I-NP,o,o,o,o
27180,revolutionary,JJ,I-NP,o,o,o,o
27181,movement.,NN,I-NP,o,o,o,o
27182,',POS,B-NP,o,o,o,o
27183,Clandestine,JJ,I-NP,o,o,o,o
27184,surveillance,NN,I-NP,o,o,o,o
27185,intensified,VBN,B-VP,o,o,o,o
27186,following,VBG,B-PP,o,o,o,o
27187,Menon's,NNP,B-NP,B-PERSON,L-PERSON,o,o
27188,1946,CD,I-NP,B-YEAR,U-YEAR,o,o
27189,meeting,NN,I-NP,o,o,o,o
27190,in,IN,B-PP,o,o,o,o
27191,Paris,NNP,B-NP,B-GPE,U-GPE,o,o
27192,with,IN,B-PP,o,o,o,o
27193,Soviet,NNP,B-NP,B-GPE,L-GPE,o,o
27194,Foreign,NNP,I-NP,B-PERSON,B-PERSON,B-TITLE,o
27195,Minister,NNP,I-NP,I-PERSON,I-PERSON,I-TITLE,o
27196,Vyacheslav,NNP,I-NP,I-PERSON,I-PERSON,o,o
27197,Molotov,NNP,I-NP,I-PERSON,L-PERSON,o,o
27198,",",",",o,o,o,o,o
27199,and,CC,I-NP,o,o,o,o
27200,Indian,NNP,B-NP,o,o,o,o
27201,independence,NN,I-NP,o,o,o,o
27202,.,.,o,o,o,o,o
27203,,,,,,,
27204,In,IN,B-PP,o,o,o,o
27205,2007,CD,B-NP,B-YEAR,U-YEAR,o,o
27206,",",",",o,o,o,o,o
27207,hundreds,NNS,B-NP,o,o,o,o
27208,of,IN,B-PP,o,o,o,o
27209,pages,NNS,B-NP,o,o,o,o
27210,of,IN,B-PP,o,o,o,o
27211,MI5,NNP,B-NP,B-ARTIFACT,B-ARTIFACT,B-GOV,o
27212,files,NNS,I-NP,I-ARTIFACT,L-ARTIFACT,o,o
27213,documenting,VBG,B-VP,o,o,o,o
27214,their,PRP$,B-NP,o,o,o,o
27215,coverage,NN,I-NP,o,o,o,o
27216,of,IN,B-PP,o,o,o,o
27217,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27218,were,VBD,B-VP,o,o,o,o
27219,released,VBN,I-VP,o,o,o,o
27220,",",",",o,o,o,o,o
27221,including,VBG,B-PP,o,o,o,o
27222,transcripts,NNS,B-NP,o,o,o,o
27223,of,IN,B-PP,o,o,o,o
27224,phone,NN,B-NP,o,o,o,o
27225,conversations,NNS,I-NP,o,o,o,o
27226,and,CC,I-NP,o,o,o,o
27227,intercepted,VBD,B-VP,o,o,o,o
27228,correspondences,NNS,B-NP,o,o,o,o
27229,with,IN,B-PP,o,o,o,o
27230,other,JJ,B-NP,o,o,o,o
27231,statesmen,NNS,I-NP,o,o,o,o
27232,and,CC,I-NP,o,o,o,o
27233,Nehru,NNP,B-NP,B-PERSON,U-PERSON,o,o
27234,himself,PRP,B-NP,o,o,o,o
27235,.,.,o,o,o,o,o
27236,,,,,,,
27237,During,IN,B-PP,o,o,o,o
27238,his,PRP$,B-NP,o,o,o,o
27239,tenure,NN,I-NP,o,o,o,o
27240,as,IN,B-PP,o,o,o,o
27241,the,DT,B-NP,o,o,o,o
27242,high,JJ,I-NP,o,o,o,o
27243,commissioner,NN,I-NP,o,o,o,o
27244,",",",",o,o,o,o,o
27245,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27246,was,VBD,B-VP,o,o,o,o
27247,accused,VBN,I-VP,o,o,o,o
27248,of,IN,B-PP,o,o,o,o
27249,being,VBG,B-VP,o,o,o,o
27250,involved,VBN,I-VP,o,o,o,o
27251,in,IN,B-PP,o,o,o,o
27252,the,DT,B-NP,o,o,o,o
27253,Jeep,NN,I-NP,B-LOCOMOTIVE,U-LOCOMOTIVE,o,o
27254,scandal,NN,I-NP,o,o,o,o
27255,case,NN,I-NP,o,o,o,o
27256,of,IN,B-PP,o,o,o,o
27257,1948,CD,B-NP,B-YEAR,U-YEAR,o,o
27258,",",",",o,o,o,o,o
27259,but,CC,I-NP,o,o,o,o
27260,the,DT,B-NP,o,o,o,o
27261,Government,NNP,I-NP,o,o,o,o
27262,closed,VBD,B-VP,o,o,o,o
27263,the,DT,B-NP,o,o,o,o
27264,case,NN,I-NP,o,o,o,o
27265,in,IN,B-PP,o,o,o,o
27266,1955,CD,B-NP,B-YEAR,U-YEAR,o,o
27267,",",",",o,o,o,o,o
27268,ignoring,VBG,B-VP,o,o,o,o
27269,suggestion,NN,B-NP,o,o,o,o
27270,by,IN,B-PP,o,o,o,o
27271,the,DT,B-NP,o,o,o,o
27272,Inquiry,NNP,I-NP,o,o,o,o
27273,Committee,NNP,I-NP,o,o,o,o
27274,.,.,o,o,o,o,o
27275,,,,,,,
27276,India's,JJ,B-NP,o,o,o,o
27277,representative,NN,I-NP,o,o,o,o
27278,to,TO,B-PP,o,o,o,o
27279,the,DT,B-NP,o,o,o,o
27280,United,NNP,I-NP,B-GPE,B-GPE,o,o
27281,Nations,NNPS,I-NP,I-GPE,L-GPE,o,o
27282,[,(,o,o,o,o,o
27283,edit,VB,B-VP,o,o,o,o
27284,source,NN,B-NP,o,o,o,o
27285,|,NN,I-NP,o,o,o,o
27286,edit,VB,B-VP,o,o,o,o
27287,],),o,o,o,o,o
27288,In,IN,B-PP,o,o,o,o
27289,1952,CD,B-NP,B-YEAR,U-YEAR,o,o
27290,",",",",o,o,o,o,o
27291,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27292,accepted,VBD,B-VP,o,o,o,o
27293,the,DT,B-NP,o,o,o,o
27294,command,NN,I-NP,o,o,o,o
27295,of,IN,B-PP,o,o,o,o
27296,the,DT,B-NP,o,o,o,o
27297,Indian,NNP,I-NP,o,o,o,o
27298,delegation,NN,I-NP,o,o,o,o
27299,to,TO,B-PP,o,o,o,o
27300,the,DT,B-NP,o,o,o,o
27301,United,NNP,I-NP,B-GPE,B-GPE,o,o
27302,Nations,NNPS,I-NP,I-GPE,L-GPE,o,o
27303,",",",",o,o,o,o,o
27304,a,DT,B-NP,o,o,o,o
27305,position,NN,I-NP,o,o,o,o
27306,he,PRP,B-NP,o,o,o,o
27307,would,MD,B-VP,o,o,o,o
27308,hold,VB,I-VP,o,o,o,o
27309,until,IN,B-PP,o,o,o,o
27310,1962,CD,B-NP,B-YEAR,U-YEAR,o,o
27311,.,.,o,o,o,o,o
27312,,,,,,,
27313,He,PRP,B-NP,o,o,o,o
27314,earned,VBD,B-VP,o,o,o,o
27315,a,DT,B-NP,o,o,o,o
27316,reputation,NN,I-NP,o,o,o,o
27317,for,IN,B-PP,o,o,o,o
27318,brilliance,NN,B-NP,o,o,o,o
27319,in,IN,B-PP,o,o,o,o
27320,the,DT,B-NP,o,o,o,o
27321,UN,NNP,I-NP,B-GPE,U-GPE,o,o
27322,",",",",o,o,o,o,o
27323,frequently,RB,B-ADVP,o,o,o,o
27324,engineering,VBG,B-VP,o,o,o,o
27325,elegant,JJ,B-NP,o,o,o,o
27326,solutions,NNS,I-NP,o,o,o,o
27327,to,TO,B-PP,o,o,o,o
27328,complex,JJ,B-NP,o,o,o,o
27329,international,JJ,I-NP,o,o,o,o
27330,political,JJ,I-NP,o,o,o,o
27331,issues,NNS,I-NP,o,o,o,o
27332,",",",",o,o,o,o,o
27333,including,VBG,B-PP,o,o,o,o
27334,a,DT,B-NP,o,o,o,o
27335,peace,NN,I-NP,o,o,o,o
27336,plan,NN,I-NP,o,o,o,o
27337,for,IN,B-PP,o,o,o,o
27338,Korea,NNP,B-NP,B-GPE,U-GPE,o,o
27339,",",",",o,o,o,o,o
27340,a,DT,B-NP,o,o,o,o
27341,ceasefire,NN,I-NP,o,o,o,o
27342,in,IN,B-PP,o,o,o,o
27343,Indo-China,NNP,B-NP,B-LOC,U-LOC,o,o
27344,",",",",o,o,o,o,o
27345,the,DT,B-NP,o,o,o,o
27346,deadlocked,VBN,I-NP,o,o,o,o
27347,disarmament,NN,I-NP,o,o,o,o
27348,talks,NNS,I-NP,o,o,o,o
27349,",",",",o,o,o,o,o
27350,and,CC,I-NP,o,o,o,o
27351,the,DT,B-NP,o,o,o,o
27352,French,JJ,I-NP,B-NORP,U-NORP,o,o
27353,withdrawal,NN,I-NP,o,o,o,o
27354,from,IN,B-PP,o,o,o,o
27355,the,DT,B-NP,o,o,o,o
27356,UN,NNP,I-NP,B-GPE,U-GPE,o,o
27357,over,IN,B-PP,o,o,o,o
27358,Algeria,NNP,B-NP,B-GPE,U-GPE,o,o
27359,.,.,o,o,o,o,o
27360,,,,,,,
27361,Diplomacy,NNP,B-NP,o,o,o,o
27362,and,CC,I-NP,o,o,o,o
27363,non-alignment,JJ,I-NP,o,o,o,o
27364,[,(,o,o,o,o,o
27365,edit,VB,B-VP,o,o,o,o
27366,source,NN,B-NP,o,o,o,o
27367,|,NN,I-NP,o,o,o,o
27368,edit,VB,B-VP,o,o,o,o
27369,],),o,o,o,o,o
27370,During,IN,B-PP,o,o,o,o
27371,this,DT,B-NP,o,o,o,o
27372,period,NN,I-NP,o,o,o,o
27373,",",",",o,o,o,o,o
27374,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27375,pioneered,VBD,B-VP,o,o,o,o
27376,a,DT,B-NP,o,o,o,o
27377,novel,NN,I-NP,o,o,o,o
27378,foreign,JJ,I-NP,o,o,o,o
27379,policy,NN,I-NP,o,o,o,o
27380,for,IN,B-PP,o,o,o,o
27381,India,NNP,B-NP,B-GPE,U-GPE,o,o
27382,",",",",o,o,o,o,o
27383,which,WDT,B-NP,o,o,o,o
27384,he,PRP,B-NP,o,o,o,o
27385,dubbed,VBD,B-VP,o,o,o,o
27386,non-alignment,JJ,B-ADJP,o,o,o,o
27387,in,IN,B-PP,o,o,o,o
27388,1952,CD,B-NP,B-YEAR,U-YEAR,o,o
27389,",",",",o,o,o,o,o
27390,charting,VBG,B-VP,o,o,o,o
27391,a,DT,B-NP,o,o,o,o
27392,third,JJ,I-NP,o,o,o,o
27393,course,NN,I-NP,o,o,o,o
27394,between,IN,B-PP,o,o,o,o
27395,the,DT,B-NP,o,o,o,o
27396,USA,NNP,I-NP,B-GPE,U-GPE,o,o
27397,and,CC,I-NP,o,o,o,o
27398,the,DT,B-NP,o,o,o,o
27399,Soviet,NNP,I-NP,B-GPE,B-GPE,o,o
27400,Union,NNP,I-NP,I-GPE,L-GPE,o,o
27401,.,.,o,o,o,o,o
27402,,,,,,,
27403,Menon,NNP,B-NP,B-PERSON,U-PERSON,o,o
27404,was,VBD,B-VP,o,o,o,o
27405,particularly,RB,B-ADJP,o,o,o,o
27406,critical,JJ,I-ADJP,o,o,o,o
27407,of,IN,B-PP,o,o,o,o
27408,the,DT,B-NP,o,o,o,o
27409,United,NNP,I-NP,B-GPE,B-GPE,o,o
