,col1
343,"The peace and prosperity that prevailed made his court a centre of cosmopolitanism, attracting scholars, artists and religious visitors from far and wide"
344,A people's history is a type of historical work which attempts to account for historical events from the perspective of common people
345,"Philosophy of history is a branch of philosophy concerning the eventual significance, if any, of human history"
346,The purpose of archaeology is to learn more about past societies and the development of the human race
347,A major theoretical foundation for world history was given by German philosopher G
348,"Motivated by a desire to halt looting, curb pseudoarchaeology, and to help preserve archaeological sites through education and fostering public appreciation for the importance of archaeological heritage, archaeologists are mounting public-outreach campaigns"
349,"In the 1980s, a new postmodern movement arose led by the British archaeologists Michael Shanks, Christopher Tilley,Daniel Miller and Ian Hodder,which has become known as post-processual archaeology"
350,Increasing urbanisation of India in 7th and 6th centuries BCE led to the rise of new ascetic or Åšramaá¹‡a movements which challenged the orthodoxy of rituals
351,"In 1498, a Portuguese fleet under Vasco da Gama successfully discovered a new sea route from Europe to India, which paved the way for direct Indo-European commerce"
352,"Lidar (Light Detection and Ranging)
A lidar uses a laser (light amplification by stimulated emission of radiation) to transmit a light pulse and a receiver with sensitive detectors to measure the backscattered or reflected light"
353,"In the East, the Gajapati Kingdom remained a strong regional power to reckon with, associated with a high point in the growth of regional culture and architecture"
354,"Archaeology became a professional activity in the first half of the 20th century, and it became possible to study archaeology as a subject in universities and even schools"
355,8th century Durga temple exterior view at Aihole complex
356,"There are varieties of ways in which history can be organized, including chronologically, culturally, territorially, and thematically"
357,The pyramidal structure above the sanctum at Brihadisvara Temple
358,The Kushan period is a fitting prelude to the Age of the Guptas
359,British India officially declared war on Nazi Germany in September 1939
360,"The Vijayanagara Empire was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty,  which originated as a political heir of the Hoysala Empire, Kakatiya Empire,[274] and the Pandyan Empire"
361,Lodhi Gardens in Delhi
362,The expansion of the Company's power chiefly took two forms
363,"Social history, sometimes called the new social history, is the field that includes history of ordinary people and their strategies and institutions for coping with life"
364,"Inhabitants of the ancient Indus river valley, the Harappans, developed new techniques in metallurgy and handicraft (carneol products, seal carving), and produced copper, bronze, lead, and tin"
365,"The Kushan Empire expanded out of what is now Afghanistan into the northwest of the Indian subcontinent under the leadership of their first emperor, Kujula Kadphises, about the middle of the 1st century CE"
366,"However, prior to the development of modern techniques, excavations tended to be haphazard; the importance of concepts such as stratification and context were overlooked"
367,"Engraving from The Graphic, October 1877, showing the plight of animals as well as humans in Bellary district, Madras Presidency, British India during the Great Famine of 1876-78"
368,"Archaeology developed out of antiquarianism in Europe during the 19th century, and has since become a discipline practiced across the world"
369,"Aerial survey is conducted using cameras attached to airplanes, balloons, UAVs, or even Kites"
370,"Gajashaala or elephant's stable, built by the Vijayanagar rulers for their war elephants"
371,Stone temple car in Vitthala Temple at Hampi
372,Most of the Indian subcontinent was conquered by the Maurya Empire during the 4th and 3rd centuries BCE
373,"Archaeological Legacy Institute (ALI), is a registered 501 non-profit, media and education corporation registered in Oregon in 1999"
374,"Muslim League leader Muhammad Ali Jinnah proclaimed 16 August 1946 as Direct Action Day, with the stated goal of highlighting, peacefully, the demand for a Muslim homeland in British India, which resulted in the outbreak of the cycle of violence that would be later called the ""Great Calcutta Killing of August 1946"""
375,"Giambattista Vico (1668-1744) in Italy wrote Scienza nuva seconda (The New Science) in 1725, which argued history as the expression of human will and deeds"
376,Medieval Cholas rose to prominence during the middle of the 9th century C
377,"At the end of the Rigvedic period, the Aryan society began to expand from the northwestern region of the Indian subcontinent, into the western Ganges plain"
378,"Once artifacts and structures have been excavated, or collected from surface surveys, it is necessary to properly study them"
379,"The Sangam literature deals with the history, politics, wars, and culture of the Tamil people of this period"
380,"Government famine relief, Ahmedabad, India, during the Indian famine of 1899-1900"
381,"One Muslim scholar, Ibn Khaldun (1332-1409) broke with traditionalism and offered a model of historical change in Muqaddimah, an exposition of the methodology of scientific history"
382,Another early modern historian was Adam Ferguson
383,Rear view showing lateral entrances of the Mahadeva Temple at Itagi
384,"Intellectual history and the history of ideas emerged in the mid-20th century, with the focus on the intellectuals and their books on the one hand, and on the other the study of ideas as disembodied objects with a career of their own"
385,"East Gateway and Railings, Bharhut Stupa, 2nd century BCE"
386,The Nawabs of Bengal had become the de facto rulers of Bengal following the decline of Mughal Empire
387,He played the part of a second Ashoka in the history of Buddhism
388,Historiography has a number of related meanings
389,Statue of the Buddha seated
390,"Depiction of the Buddha in Kanishka's coinage, Mathura art, 2nd century CE"
391,"Sanchi Stupa Two and Southern Gateway, 1st century CE (UNESCO World Heritage Site)"
392,Looting of archaeological sites is an ancient problem
393,"By the 3rd century, their empire in India was disintegrating and their last known great emperor was Vasudeva I"
394,"Bhutanatha temple complex at Badami, next to a waterfall, during the monsoon"
395,From 1920 leaders such as Mahatma Gandhi began highly popular mass movements to campaign against the British Raj using largely peaceful methods
396,Public history describes the broad range of activities undertaken by people with some training in the discipline of history who are generally working outside of specialized academic settings
397,"Many of the sixteen kingdoms had coalesced into four major ones by 500/400Â BCE, by the time of Gautama Buddha"
398,World history is the study of major civilizations over the last 3000 years or so
399,The Great Chaitya in the Karla Caves
400,"Shaniwarwada palace fort in Pune, the seat of the Peshwa rulers of the Maratha Empire until 1818"
401,"The Sikh Empire, ruled by members of the Sikh religion, was a political entity that governed the Northwestern regions of the Indian subcontinent"
402,The Bengali Renaissance  refers to a social reform movement during the nineteenth and early twentieth centuries in the Bengal region of the Indian subcontinent during the period of British rule dominated by Bengali Hindus
403,"Traditionally, historians have recorded events of the past, either in writing or by passing on an oral tradition, and have attempted to answer historical questions through the study of written documents and oral accounts"
404,They dominated the political affairs of Sri Lanka for over two centuries through repeated invasions and occupation
405,"Sir Syed Ahmed Khan (1817-1898), the author of Causes of the Indian Mutiny, was the founder of Muhammadan Anglo-Oriental College, later the Aligarh Muslim University"
406,"The OED first cites ""archaeologist"" from 1824; this soon took over as the usual term for one major branch of antiquarian activity"
407,"In England, ultimate responsibility of care for the historic environment rests with the Department for Culture, Media and Sport[78] in association with English Heritage"
408,"Vijayanagara marketplace at Hampi, along with the sacred tank located on the side of Krishna temple"
409,The Kingdom of Mysore in southern India expanded to its greatest extent under Hyder Ali and his son Tipu Sultan in the later half of the 18th century
410,"The Indian indenture system was an ongoing system of indenture, a form of debt bondage, by which 3"
411,The Arab traveller Suleiman described the Rashtrakuta Empire as one of the four great Empires of the world
412,The next task is to form a site plan and then use it to help decide the method of excavation
413,The partition of Bengal in 1905 further increased the revolutionary movement for Indian independence
414,"After 1857, the colonial government strengthened and expanded its infrastructure via the court system, legal procedures, and statutes"
415,"Sculptures near Teli ka Mandir, Gwalior Fort"
416,"Early Vedic society is described in the Rigveda, the oldest Vedic text, believed to have been compiled during 2nd millennium BCE,[79][80] in the northwestern region of the Indian subcontinent"
417,"The grave of Razia, the Sultana of Delhi, from 1236 CE to 1240 CE, the only female ruler of a major realm on the Indian subcontinent until modern times"
418,The Sultanate ushered in a period of Indian cultural renaissance
419,"During the late period of the Indus Valley Civilisation, signs of a gradual decline began to emerge, and by around 1700Â BCE, most of the cities were abandoned"
420,Early medieval India began after the end of the Gupta Empire in the 6th century CE
421,Linguists hypothesized that Dravidian-speaking people were spread throughout the Indian subcontinent before a series of Indo-Aryan migrations
422,The theory divides the history of the world into the following periods: Primitive communism; Slave society; Feudalism; Capitalism; and Socialism
423,Around 800Â BCE to 400Â BCE witnessed the composition of the earliest Upanishads
424,"Although economic history has been well established since the late 19th century, in recent years academic studies have shifted more and more toward economics departments and away from traditional history departments"
425,"Early sources, from the Buddhist PÄli Canon, the Jain Agamas and the Hindu Puranas, mentions Magadha being ruled by the Haryanka dynasty for some 200 years, c"
426,One of the first sites to undergo archaeological excavation was Stonehenge and other megalithic monuments in England
427,"Archaeological evidence has been interpreted to suggest the presence of anatomically modern humans in the Indian subcontinent 78,000-74,000 years ago, although this interpretation is disputed"
428,"More extensive settlement of the Indian subcontinent occurred during the Neolithic period after the end of the last Ice Age approximately 12,000 years ago"
429,The Mughal Empire reached the zenith of its territorial expanse during the reign of Aurangzeb and also started its terminal decline in his reign due to Maratha military resurgence under Shivaji
430,"During the Renaissance in Europe, history was written about states or nations"
431,"The British themselves adopted a ""carrot and stick"" approach in recognition of India's support during the First World War and in response to renewed nationalist demands"
432,"The Vakatakas are noted for having been patrons of the arts, architecture and literature"
433,During the Sangam period Tamil literature flourished from the 3rd century BCE to the 4th century CE
434,Subhas Chandra Bose (also called Netaji) broke with Congress and tried to form a military alliance with Germany or Japan to gain independence
435,Archaeologists trying to protect artifacts may be placed in danger by looters or locals trying to protect the artifacts from archaeologists who are viewed as looters by the locals
436,"Archaeological theory now borrows from a wide range of influences, including neo-evolutionary thought, phenomenology, postmodernism, agency theory, cognitive science, structural functionalism, gender-based and feminist archaeology, and systems theory"
437,"Since the 20th century, Western historians have disavowed the aspiration to provide the ""judgement of history"
438," In constructing the history of modern India, priority needs to be given to archives"
439," Archives refer to a collection of historical records and documents, usually primary source documents"
440," They are unique/original documents, not consciously written or created to convey information to a future generation"
441, An important part of archives relating to modern India are the official records
442, The records of the East India Company provide a detailed account of trading conditions during the period 16001857
443," When the British crown took over the administration, it also kept a large variety and volume of official records"
444, These records help historians to trace every important development stagebystage and follow the processes of decisionmaking and the psychology of the policymakers
445," The records of the other European East India companies (the Portuguese, Dutch and French) are also useful for constructing the history of the 17th and 18th centuries"
446," They are primarily important from the point of view of economic history, but much can be gathered from them about the political setup as well"
447,"  A Brief History of Modern India  There are also many contemporary and semicontemporary works such as memoirs, biographies and travel accounts which give us interesting as well as useful glimpses into the history of the 18th and early 19th centuries"
448," Newspapers and journals made their appearance in the later part of the 18th century, and they provide very valuable information on almost all aspects of the Indian society in the 19th and 20th centuries"
449," Other sources of modern Indian history include oral evidence, creative literature and paintings"
450,"  Archival Materials There are four categories of official records (i) central government archives, (ii) state government archives, (iii) records of intermediate and subordinate authorities, and (iv) judicial records"
451," Apart from these, there are private archives and archival sources available abroad"
452,"  Central Government Archives The National Archives of India, located in New Delhi, contains most of the archives of the Government of India"
453, These provide authentic and reliable source materials on varied aspects of modern Indian history
454," The records with the National Archives come under various groups, representing different branches of the secretariat at different stages of its development"
455," This happened as the work of the East India Company was distributed among various branchespublic or general, revenue, political, military, secret, commercial, judicial, education, etc"
456,and a separate set of records was kept for each of these branches or departments
457," With the appointment of James Rennell as the first Surveyor General of Bengal in 1767, the Survey of India began to scientifically map the unknown regions of the country and its bordering lands"
458, The records of the Survey of India as well as the journals and memoirs of the surveyors provide valuable information not only on geographical matters but also on        Sources for the History of Modern India  5  contemporary socioeconomic conditions and other important historical aspects
459," The proceedings of the public, judicial and legislative departments provide ample data for studying the social and religious policies of the colonial government"
460, The governments policies on education and the growth of the education system during the colonial rule are mentioned in the educational records of the central archives
461," The papers bearing on the emergence of the nationalist movement were part of the public series of the home department records but, in 1907, a new series of recordsHome Politicalwas started to deal exclusively with political and communal issues"
462, The records of the Reforms Office are very useful for an analytical study of the constitutional developments from 1920 to 1937
463,"  Archives of the State Governments The source material in the state archives comprise the records of (i) the former British Indian provinces, (ii) the erstwhile princely states which were incorporated in the Indian Union after 1947, and (iii) the foreign administrations other than those of the British"
464," Apart from these, the records of those Indian powers which were taken over by the British, for instance, the archives of the Kingdom of Lahore (popularly known as Khalsa Darbar records from 1800 to 1849), are important source material"
465," Another important collection of the preBritish public archives in India is the Peshwa Daftar housed in the Alienation Office, Pune"
466, It forms the most valuable single source for the study of Maratha history for a period of almost a century before the fall of the Peshwas
467, For studying the history of the princely states of Rajasthan
468," Similarly, the history of Dogra rule from 1846 in Jammu and Kashmir can be studied in the valuable collection of state papers housed at Jammu"
469," The other significant archives of the princely states are those    6      A Brief History of Modern India  of Gwalior, Indore, Bhopal and Rewa, all in Madhya Pradesh, Travancore and Cochin in Kerala, Mysore in Karnataka and Kolhapur in Maharashtra"
470,"  Archives of Three Presidencies The early records of Fort Williams (Bengal Presidency) were lost during the sack of Calcutta in 1756, but the archives of the Bengal presidency after the British victory at Plassey have survived more or less in a complete series, which are partly available in the National Archives of India and partly in the State Archives of West Bengal"
471, The records of the Madras Presidency begin from AD 1670 and include records of the Governor and Council of Fort St
472, George
473," In these records there is plenty of information bearing on the rise of the English East India Company as a political power in the south and in the Deccan, including the AngloFrench struggle and the English conflicts with other Indian powers"
474," The archives of Bombay Presidency, housed in the Maharashtra Secretariat Record Office, Mumbai, are extremely useful in studying the history of Western IndiaMaharashtra, Gujarat, Sindh and the Kannadaspeaking districts of the erstwhile Bombay Presidency which were incorporated in Mysore in 1956"
475,"  Archives of Other European Powers The archives related to the Portuguese preserved in Goa, mainly belonging to the period from 1700 to 1900, are valuable for the history of Portuguese possessions in India"
476, The orders and dispatches from Lisbon received in Goa and the responses and reports dispatched from India to Portugal constitute the most significant historical material among the Portuguese archives
477, The Dutch records of Cochin and Malabar are in the Madras Record Office and those of Chinsura in the state archives of West Bengal
478, The French archives of Chandernagore and Pondicherry (now Puducherry) were taken to Paris by the French authorities before they relinquished these settlements
479, The archives of the Danish   Sources for the History of Modern India  7  possessions were also transferred to Copenhagen when the Dutch sold Tranquebar and Serampore to the English East India Company in 1845
480," The remaining Danish records, mainly relating to Tranquebar (17771845), are now housed in the Madras Record Office"
481,"  Judicial Records Housed in the Madras Record Office, the archives of the Mayor's Court at Fort St"
482," George, beginning from AD 1689, are the earliest available judicial archives"
483," The prePlassey records of the Mayor's Court at Fort Williams have been lost, but those for the years 175773 are kept in the record room of the Calcutta High Court, along with the archives of the Supreme Court of Bengal (17741861)"
484," Similarly, the records of the Mayor's Court at Bombay established in 1728 are available in the Maharashtra Secretariat Record Office which also has the custody of the archives of the Bombay Recorder's Court and the Supreme Court"
485," Apart from containing the proceedings and minutes, this category of records contains copies of wills, probates, and letters of administration which are useful for genealogical studies and for investigations pertaining to the state of society and economic conditions in the respective regions"
486,  Published Archives The most significant archival publications are the Parliamentary Papers which include many excerpts from the records of the East India Company and the Government of India under the Crown
487, The reports of the parliamentary select committees
488," various royal commissions constituted on specific subjects like education, civil reforms and famines, and the parliamentary debates on the Indian empire are indispensable"
489," The proceedings of the Indian and provincial legislatures, the weekly gazettes published by the central and the provincial governments and collections of laws and regulations issued from time to time also serve as useful source material for historical research"
490," A Brief History of Modern India  Private Archives Private archives comprise papers and documents of individuals and families of note, who played a significant role in the development of modern India"
491, The papers of eminent leaders of the nationalist movement and the records of organisations like the Indian National Congress are housed in the Nehru Memorial Museum and Library in New Delhi
492," The archives of banks, business houses and chambers of commerce are extremely helpful in the study of economic changes"
493,"  Foreign Repositories A vast body of historical material related to the history of modern India is available in the repositories of erstwhile imperialist powers, who ruled in different parts of the Indian subcontinent, as well as in some other countries too"
494," In England, the India Office Records, London and the records kept in the British Museum are very valuable"
495, The India Office Records possesses various important documents: the minutes of the Courts of Directors and the General Court of the East India Company and various committees constituted from time to time
496, the minutes and correspondence of the Board of Control or the Board of Commissioners for the Affairs of India
497, and the records of the Secretary of State and the India Council
498," The British Museum possesses collections of papers of British viceroys, secretaries of states and other high ranked civil and military officials who were posted in India"
499," The archives of the missionary societies, for instance, of the Church Missionary Society of London, provide insight into the educational and social development in preindependent India"
500," The Archives Nationale, Paris, and the Archives of the French Ministries of Foreign Affairs, Colonies and War, have records that throw light on the history of French possessions as well as other sociopolitical conditions"
501," The records of the Dutch East India Company is available in        Sources for the History of Modern India  9  Rijksarchief, The Hague, and that of the Danish and Portuguese are kept in Copenhagen and Lisbon, respectively"
502," Apart from the archives of the European nations, the archives preserved in Pakistan are of utmost importance"
503," The West Pakistan Record Office, Lahore, Record Office, Peshawar, records available in Sind, etc"
504,", give information about the regional history of the Indian subcontinent besides shedding light on India's relations with Afghanistan, Iran and other neighbouring countries in the colonial era"
505,"  Biographies, Memoirs and Travel Accounts Many travellers, traders, missionaries and civil servants who came to India, have left accounts of their experiences and their impressions of various parts of India"
506, An important group among these writers was that of the missionaries who wrote to encourage their respective societies to send more missionaries to India for the purpose of envangelising its inhabitants
507," In this genre, Bishop Heber's Journal and Abbe Dubois's Hindu Manners and Customs, provide useful information on the socioeconomic life of India during the period of decline of the Indian powers and the rise of the British"
508," Some of the famous British travellers who wrote travel accounts wereGeorge Forster, Benjamin Heyne, James Burnes (Narrative of a Visit to the Court of Sinde), Alexander Burnes (Travels Into Bokhara), C"
509," Davidson (Diary of the Travels and Adventures in Upper India), and John Butler (Travels and Adventures in the Province of Assam)"
510," Famous nonBritish travellers who wrote about India include Victor Jacquemont (Letters from India describing a journey in the British Dominions of India, Tibet, Lahore and Cashmere during the years 182818291831), Baron Charles (Travels in Kashmir and the Punjab), and William    10      A Brief History of Modern India  Moorcroft"
511," These travel accounts are indispensable and generally reliable sources for constructing the history of modern India, especially as they supplement the official papers"
512,"  Newspapers and Journals Newspapers and journals of the nineteenth and twentieth centuries, published in English as well as in the different vernacular languages, form an important and authentic source of information for the construction of the history of modern India"
513, The first attempts to publish newspapers in India were made by the disgruntled employees of the English East India Company who sought to expose the malpractices of private trade
514," For instance, in 1776, William Bolts, being censured by the Court of Directors for private trading, resigned from the Company and announced his intention to publish a newspaper"
515, The official response to Bolts' scheme was strong and his plan ended before materialising
516," In 1780, James Augustus Hickey published the first newspaper in India entitled The Bengal Gazette or Calcutta General Advertiser"
517," Hickey's press was seized within two years, owing to his outspoken criticism of government officials"
518," Afterwards, many publications appeared such as The Calcutta Gazette (1784), The Madras Courier (1788) and The Bombay Herald (1789)"
519, The newspapers and journals of the early period primarily aimed at catering to the intellectual entertainment of the Europeans and AngloIndians
520," From the second half of the 19th century, many powerful newspapers appeared, edited/published by distinguished and fearless journalists"
521," Interestingly, nearly onethird of the founding fathers of the Indian National Congress in 1885 were journalists"
522, Some of their publications were: The Hindu and Swadesamitran under the editorship 
523," Subramaniya Iyer, Kesari and Mahratta under Bal Gangadhar Tilak, Bengalee under Surendranath Banerje"
524," Sen, Voice of India under Dadabhai Naoroji, Hindustan and Advocate under GP Varma"
525," The Tribune and AkhbariAm in Punjab, Indu Prakash, Dnyan Prakash, Kal and Gujarati in Bombay, and Som Prakash Banganivasi and Sadharani in Bengal were other noted newspapers of the time"
526," Indian nationalists and revolutionaries living abroad published newspapers and journalsIndian Sociologist (London, Shyamji Krishnavarma), Bande Matram (Paris, Madam Cama), Talwar (Berlin, Virendranath Chattopadhyay), and Ghadar (San Francisco, Lala Hardayal) to infuse a feeling of nationalism among Indians living abroad"
527, Newspapers depict almost all aspects of life in colonial India from around the 1870s onwards
528," From the 1920s onwards, newspapers tracked the major events during the freedom struggle"
529," However, newspaper accounts cannot be seen as unprejudiced or completely objective"
530, The accounts that were published in a newspaper in London by the proBritish Raj people were bound to be different from the report in an Indian nationalist paper
531,"  Oral Evidence Oral history refers to the construction of history with the help of nonwritten sources, for instance, personal reminiscence"
532, Oral sources allow historians to broaden the boundaries of their discipline and corroborate their findings from other sources of history
533," However, many historians remain sceptical of oral history"
534,  Creative Literature The most significant outcome of the IndoEuropean contact was the novel which emerged in the latter half of the 19th century
535," The first important writer of that period was the    12      A Brief History of Modern India  famous Bengali novelist, Bankim Chandra Chatterji (183894)"
536," His novels are mostly historical, the best known among them being Anand Math (1882), especially for its powerful lyric'Vandemataram' and depiction of the Sanyasi Revolt (1760s)"
537, His last novel Rajasimha can be called the grand finale to his remarkable career
538, Icharam Suryaram Desai (18531912) was a fine scholar of medieval Gujarati literary history
539, His first novel Hind ane Britanica was one of the earliest Indian novels with political overtones
540," Tamil writers like Girija Devi and Ramatirtha Thammal, who wrote Mohanra Rajani (1931) and Dasikalin Mosa Valai (1936) respectively, also made the novel an effective vehicle of social experience"
541," Krishna Rao's Kilubommalu (The Puppets, 1956) in Telugu was concerned with the moral aspects and behaviour of the rural people"
542," Vaikom Muhammad Basheer (19101994) was one of the eminent writers in Malayalam whose famous novel Balyakala Sakhi (The Childhood Friends, 1944) was a tragic tale of love"
543," Similarly, Thakazhi Siva Sankara Pillai became prominent for his two extremely well written works in Malayalam, Tottiyude Makan (Son of a Scavenger, 1948) and Chemmin (Shrimps, 1956)"
544," Despite having different educational backgrounds and social outlooks, all these writers shared a strong sense of realism and deep interest in the life of the marginalised and oppressed sections of the society"
545, These novels give a picture of the social milieu of the days they relate to
546,"  Painting Some information on the socioeconomic, political and cultural life during the colonial period can be obtained from the paintings of that period"
547," The Company Paintings, also referred as' Patna Kalam' emerged under the patronage of the East India Company"
548, They picturise the people and scenes as they existed at the time
549," Trades, festivals, dances and the attire of people were visible in these works"
550, Company  Sources for the History of Modern India  13  paintings continued to be popular throughout the 19th century until the introduction of photography in India in the 1840s
551," The pictorial images produced by the British and Indianspaintings, pencil drawings, etchings, posters, cartoons and bazaar prints are especially important records of the great revolt of 1857"
552, The British pictures offer images that were meant to provoke a range of different emotions and reactions
553, Some of them commemorate the British heroes who saved the English and repressed the rebels
554," Relief of Lucknow, painted by Thomas Jones Barker in 1859, is one such example"
555," Another painting of this period, In Memoriam by Joseph Noel Paton, recorded in painting two years of the revolt of 1857"
556," One can see English women and children huddled in a circle, looking helpless and innocent, seemingly waiting for the inevitabledishonour, violence and death"
557, These paintings of the mutiny period are important for the historian to interpret and understand the worldviews of the British and the Indians regarding this major event
558, Kalighat painting that came to the fore in Calcutta in the nineteenth century depicted not only mythological figures but also ordinary people engaged in their everyday life
559, These latter pictures captured the social changes taking place in the Calcutta of the time
560, These paintings made a comment on social evils of the time
561, some of these paintings satirised certain modes adopted by the people of the time
562," In the last decades of the nineteenth century, a new art movement emerged which received its primary stimulus from the growing nationalism in India"
563, Artists like Nandalal Bose and Raja Ravi Varma were representatives of this new trend
564," In the rise of the Bengal School led by Abanindranath Tagore (nephew of Rabindranath Tagore), EB Havell (who joined the art school in Calcutta as principal) and Ananda Kentish Coomaraswamy (son of an important Tamil political leader in Sri Lanka) played a vital role"
565," Though many of the paintings of this new trend primarily focused on themes of Indian  Brief History of Modern India  mythology and cultural heritage, they are important sources for studying the modern art movement in India and for the art historians"
566," Summary Sources of Modern Indian History Archival Materials consist of public, private and foreign repositories Public Archives include the archives of the Governments of India, archives of state governments, archives of the three Presidencies of Bengal, Madras and Bombay, and judicial records"
567, Private Archives Papers and documents of individuals and families of note who played a significant role in the development of modern India
568," Foreign Repositories Indian office Records in London, Record Office, Lahore, etc"
569," Biographies and Memoirs Accounts of travelers, traders, missionaries and civil servants during the 18th and 19th centuries as well as memoirs written by Indian leaders during Independence movement"
570, Newspapers and Journals Published in India as well as abroad
571," Others Oral tradition, creative literature, painting"
572, Major Approaches to the History of Modern India Looking at how histories are written is part of the study of the intellectual history of the period under discussion and can provide a variety of ideas and explanations
573," The starting point in the history of a society, therefore, has to be a familiarity with its historiographythe study of historical interpretation"
574," This provides recognition of the intellectual context of history, instead of seeing history as just a narration of events"
575," The modern history of India, for the convenience of understanding, can be broadly read under four approaches the Colonial (or the Imperialist), Nationalist, Marxist, and Subalterneach with its own distinct characteristics and modes of interpretation"
576," However, there are other approaches Communalist, Cambridge, Liberal and Neoliberal, and Feminist interpretationswhich have also influenced historical writing on modern India"
577, View The production of histories of India has become very frequent in recent years and may well call for some explanationsâ€¦ The reason is a twofold one: changes in the Indian scene requiring a reinterpretation of the facts and changes in the attitudes of historians about the essential elements of Indian history
578,  A Brief History of Modern India  Colonial Approach/ Historiography For the major part of the 19th century the Colonial School occupied a high position in India
579, The term 'colonial approach' has been used in two senses
580," One relates to the history of the colonial countries, while the other refers to the works which were influenced by the colonial ideology of domination"
581, It is in the second sense that most historians today write about the colonial historiography
582," In fact, the practice of writing about the colonial countries by the colonial officials was related to the desire for domination and justification of the colonial rule"
583," Hence, in most such historical works there was criticism of indigenous society and culture"
584," Simultaneously, there was praise for the Western culture and values and glorification of the individuals who established the colonial empires"
585," The histories of India written by James Mill, Mountstuart Elphinstone, Vincent Smith and many others are pertinent examples of the colonial historiographical trend"
586, Certain characteristics common to most of the works of these historians are the following: (i)'Orientalist' representation of India
587, The opinion that the British brought unity to India
588, The notions of Social Darwinismthe English considered themselves superior to the'natives' and the fittest to rule
589, India viewed as a stagnant society which required guidance from the British (White Man's burden)
590, and  establishing Pax Britannica to bring law and order and peace to a bickering society
591,"  Nationalist Historiography/ Approach The nationalist approach to Indian history can be described as one which tended to contribute to the growth of nationalist feelings and to unify people in the face of religious, caste,        Major Approaches to the History of Modern India  17  or linguistic differences or class differentiation"
592," This approach looks at the national movement as a movement of the Indian people, which grew out of the growing awareness among all people of the exploitative nature of colonial rule"
593, This approach developed as a response to and in confrontation with the colonial approach
594, It should be noted that the nationalist historians of modern India didn't exist before 1947
595," Before 1947, nationalist historiography mainly dealt with the ancient and medieval periods of Indian history"
596," Although, in the last quarter of the 19th century, a detailed and scientific critique of colonialism for the adverse economic aspects of alien rule was developed by nationalists like Dadabhai Naoroji, M"
597, Desai's Social Background of Indian Nationalism
598," Originally written for the famous Left Book Club in England, India Today, first published in 1940 in England, was later published in India in 1947"
599," Desai's Social Background of Indian Nationalism, was first published in 1948"
600," Unlike the imperialist/colonial approach, the Marxist historians clearly see the primary contradiction between the interests of the colonial masters and the subject people, as well as the process of the nationinthemaking"
601," Unlike the nationalists, they also take full note of the inner contradictions between the different sections of the people of the Indian society"
602," However, some of them, particularly Rajni Palme    A Brief History of Modern India  Dutt, were unable to fully integrate their treatment of the primary antiimperialist contradiction and the secondary inner contradictions and tended to counterbalance the antiimperialist struggle with the class or social struggle"
603," They tend to see the national movement as a structured bourgeois movement, if not the bourgeoisie's movement, and miss its open ended and allclass character"
604," Another noted Marxist historian, who made a critique of RP  "
605, he considers Dutt's paradigm as a 'simplistic version of the Marxian class approach
606, He looks at the nationalist leaders in the light of intelligentsia which acts as a 'kind of proxy for as yet passive social forces with which it had little organic connection
607," Desai traces the growth of the national movement in five phases, each phase based on particular social classes which supported and sustained it"
608,"  Subaltern Approach/ Historiography This school of thought began in the early 1980s under the editorship of Ranajit Guha, as a critique of the existing historiography, which was faulted for ignoring the voice of the people"
609," Right from the beginning, subaltern historiography took the position that the entire tradition of Indian historiography had had an elitist bias"
610," For the subaltern historians, the basic contradiction in Indian society in the colonial epoch was between the elite, both Indian and foreign, on the one hand, and the subaltern groups, on the other, and not between colonialism and the Indian people"
611," However, they do not subscribe to the Marxist theory of the nature of the exploitation by the nationalist movement: they point out that the Indian society of the time could not be seen in terms of class only as capitalism in the country was just nascent at the time"
612," This school sees nationalism as exploitative in terms of caste, gender, religious and creed divisions"
613,"        Major Approaches to the History of Modern India  19  View A few historians have of late initiated a new trend, described by its proponents as subaltern, which dismisses all previous historical writing, including that based on a Marxist perspective, as elite historiography, and claims to replace this old,'blinkered' historiography with what it claims is a new people's or subaltern approach"
614," Bipan Chandra  Nationalism, say the subalterns, ignored the internal contradictions within the society as well as what the marginalised represented or had to say"
615," They believe that the Indian people were never united in a common antiimperialist struggle, that there was no such entity as the Indian national movement"
616," Instead, they assert, there were two distinct movements or streams: the real antiimperialist stream of the subalterns and the bogus national movement of the elite"
617," The elite streams, led by the'official' leadership of the Indian National Congress, were little more than a cloak for the struggle for power among the elite"
618,"  Communalist Approach The historians of this school, relying completely on the colonial historiography of medieval India and colonial era textbooks, viewed Hindus and Muslims as permanent hostile groups whose interests were mutually different and antagonistic to each other"
619, This view was not only reflected in the writings of the historians but it also found a more virulent form in the hands of the communal political leaders
620," In their view, India's medieval history was one long story of HinduMuslim conflict"
621," As a corollary of this view, it was then argued that the 19th and 20thcentury Muslims had the'happy' and'proud' everpresent memory of having been the ruling class, while Hindus had the'sad' and'humiliating' memory of having been the subject race"
622,"  A Brief History of Modern India  developed mutual hatred among these groups often resulting in communal riots and, in the end led to the partition of India"
623,"  Cambridge School According to this school of thought, the fundamental contradiction under colonial rule was not between imperialism and the Indian people, but among the Indians themselves"
